Title,Path,Genres,Primary Genre
FastTimesAtRidgemountHigh,midi_songs_2/FastTimesAtRidgemountHigh.mid,"Comedy, Drama",Comedy
FatherOftheBride,midi_songs_2/FatherOftheBride.mid,Comedy,Comedy
FerrisBuellarsDayOff,midi_songs_2/FerrisBuellarsDayOff.mid,Comedy,Comedy
Fletch,midi_songs_2/Fletch.mid,"Comedy,Crime,Mystery",Comedy
FoolsRushIn,midi_songs_2/FoolsRushIn.mid,Comedy,Comedy
FridayThe13th,midi_songs_2/FridayThe13th.mid,Comedy,Comedy
GetShorty,midi_songs_2/GetShorty.mid,"Comedy,Crime,Thriller",Comedy
Ghostbusters2,midi_songs_2/Ghostbusters2.mid,Comedy,Comedy
Glory,midi_songs_2/Glory.mid,"Comedy,Drama",Comedy
Goonies,midi_songs_2/Goonies.mid,"Comedy,Fantasy,Sci-Fi",Comedy
Graduate,midi_songs_2/Graduate.mid,Comedy,Comedy
Gremlins,midi_songs_2/Gremlins.mid,"Comedy,Fantasy,Horror",Comedy
GroundHogDay-PennsylvaniaPolka,midi_songs_2/GroundHogDay-PennsylvaniaPolka.mid,"Comedy, Fantasy, Romance",Comedy
GrumpierOldMen,midi_songs_2/GrumpierOldMen.mid,"Comedy,Romance",Comedy
Hackers,midi_songs_2/Hackers.mid,"Comedy,Crime,Drama",Comedy
Hair,midi_songs_2/Hair.mid,"Comedy,Drama,Musical",Comedy
Heartburn,midi_songs_2/Heartburn.mid,"Comedy,Drama",Comedy
Heat,midi_songs_2/Heat.mid,"Comedy,Drama,Romance",Comedy
Help!,midi_songs_2/Help!.mid,"Comedy,Short",Comedy
Haunting,midi_songs_2/Haunting.mid,"Crime,Drama",Crime
KillingFields,midi_songs_2/KillingFields.mid,"Crime,Drama",Crime
LoneRanger,midi_songs_2/LoneRanger.mid,"Crime,Drama",Crime
MagnificentSeven,midi_songs_2/MagnificentSeven.mid,"Crime,Action",Crime
FourSeasons,midi_songs_2/FourSeasons.mid,"Documentary,Short",Documentary
BridgeOverTheRiverKwai,midi_songs_2/BridgeOverTheRiverKwai.mid,"Drama,History",Drama
BrokenArrow,midi_songs_2/BrokenArrow.mid,"Drama,Romance,Western",Drama
Bulldog,midi_songs_2/Bulldog.mid,Drama,Drama
CarlitosWay,midi_songs_2/CarlitosWay.mid,Drama,Drama
Casablanca,midi_songs_2/Casablanca.mid,"Drama,Romance,War",Drama
ChariotsOfFire,midi_songs_2/ChariotsOfFire.mid,"Drama,Sport",Drama
ChildrenOfaLesserGod,midi_songs_2/ChildrenOfaLesserGod.mid,"Drama, Romance",Drama
CitizenKane,midi_songs_2/CitizenKane.mid,"Drama,Mystery",Drama
CityOfAngels-IfGodWillSendHisAngels,midi_songs_2/CityOfAngels-IfGodWillSendHisAngels.mid,"Drama,Fantasy,Music",Drama
CivilAction,midi_songs_2/CivilAction.mid,Drama,Drama
Client,midi_songs_2/Client.mid,"Drama,Short",Drama
CloseEncountersOfTheThirdKind,midi_songs_2/CloseEncountersOfTheThirdKind.mid,Drama,Drama
ColorPurple,midi_songs_2/ColorPurple.mid,Drama,Drama
Contact,midi_songs_2/Contact.mid,Drama,Drama
DancesWithWolves,midi_songs_2/DancesWithWolves.mid,"Drama,History",Drama
DasBoot,midi_songs_2/DasBoot.mid,"Drama,Thriller,War",Drama
DirtyDancing,midi_songs_2/DirtyDancing.mid,"Drama,Music,Romance",Drama
DoctorZhivago,midi_songs_2/DoctorZhivago.mid,"Drama,Romance,War",Drama
DonJuanDemarco,midi_songs_2/DonJuanDemarco(1).mid,Drama,Drama
DrivingMissDaisy,midi_songs_2/DrivingMissDaisy.mid,Drama,Drama
EmpireOfTheSun,midi_songs_2/EmpireOfTheSun.mid,Drama,Drama
Faculty,midi_songs_2/Faculty.mid,"Drama,Short",Drama
FatalAttraction,midi_songs_2/FatalAttraction.mid,"Drama,Thriller",Drama
Fearless,midi_songs_2/Fearless.mid,"Drama,Thriller",Drama
FiddlerOnTheRoof,midi_songs_2/FiddlerOnTheRoof.mid,"Drama, Family, Musical",Drama
FieldofDreams,midi_songs_2/FieldofDreams.mid,"Drama,Family,Fantasy",Drama
Flashdance(LoveTheme),midi_songs_2/Flashdance(LoveTheme).mid,"Drama, Music, Romance",Drama
Flashdance(Whatafeeling),midi_songs_2/Flashdance(Whatafeeling).mid,"Drama, Music, Romance",Drama
Flashdance-MichealSumbellosManiac,midi_songs_2/Flashdance-MichealSumbellosManiac.mid,Drama,Drama
Footloose,midi_songs_2/Footloose.mid,"Drama,Music,Romance",Drama
ForeverYoung,midi_songs_2/ForeverYoung.mid,Drama,Drama
BackToTheFutureIII,midi_songs_2/BackToTheFutureIII.mid,Fantasy,Fantasy
Cinderella,midi_songs_2/Cinderella.mid,"Fantasy,Short",Fantasy
Dracula,midi_songs_2/Dracula.mid,"Fantasy,Horror",Fantasy
Candyman,midi_songs_2/Candyman.mid,"Horror,Thriller",Horror
DeepRed,midi_songs_2/DeepRed.mid,"Horror,Mystery,Thriller",Horror
AngelsandDemons-503,midi_songs_2/AngelsandDemons-503.mid,"Mystery, Thriller",Mystery
BlueLagoon,midi_songs_2/BlueLagoon.mid,Reality-TV,Reality-TV
Grease-SummerNights,midi_songs_2/Grease-SummerNights.mid,Romance,Romance
LookWhosTalking,midi_songs_2/LookWhosTalking.mid,Romance,Romance
DarkLight,midi_songs_2/DarkLight.mid,Short,Short
AceVenturaPetDetective,midi_songs_2/AceVenturaPetDetective.mid,Talk-Show,Talk-Show
Desperado,midi_songs_2/Desperado.mid,Western,Western
